page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	8	0	0	-	187	187	187	-
2	true	9	0	0	-	415	415	415	-
3	true	11	0	0	-	458	458	458	-
4	true	11	0	0	-	619	619	619	-
5	true	14	0	0	-	607	599	607	-
6	true	10	0	0	-	310	310	310	-
7	true	8	0	0	-	216	216	216	-
8	true	8	0	0	-	267	267	267	-
9	true	10	0	0	-	244	244	244	-
10	true	10	0	0	-	0	0	0	show@239
11	true	5	0	0	-	41	41	41	-
12	true	7	0	0	-	43	43	43	-
