page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
220	true	1	0	0	-	316	44	316	-
221	true	1	0	0	-	143	16	143	-
222	true	1	0	0	-	220	36	220	-
223	true	1	0	0	-	149	18	149	-
224	true	2	0	0	-	138	15	138	-
225	true	1	0	0	-	303	28	303	-
226	true	1	0	0	-	179	11	179	-
227	true	2	0	0	-	252	37	252	-
228	true	1	0	0	-	372	39	372	-
229	true	2	0	0	-	128	6	128	-
230	true	1	0	0	-	167	12	167	-
231	true	2	0	0	-	189	6	189	-
232	true	1	0	0	-	214	12	214	-
233	true	1	0	0	-	308	35	308	-
234	true	1	0	0	-	142	8	142	-
235	true	1	0	0	-	215	22	215	-
236	true	1	0	0	-	383	40	383	-
237	true	1	0	0	-	145	16	145	-
238	true	1	0	0	-	220	41	220	-
239	true	1	0	0	-	173	20	173	-
240	true	1	0	0	-	212	22	212	-
241	true	1	0	0	-	341	45	341	-
243	true	2	0	0	-	113	13	113	-
244	true	1	0	0	-	98	11	98	-
245	true	3	0	0	-	124	16	124	-
246	true	3	0	0	-	400	136	400	-
247	true	2	0	0	-	128	47	128	-
248	true	1	0	0	-	32	0	32	-
249	true	1	0	0	-	150	11	150	-
250	true	2	0	0	-	257	28	257	-
251	true	3	0	0	-	689	262	689	-
252	true	3	0	0	-	140	63	140	-
253	true	1	0	0	-	124	7	124	-
254	true	3	0	0	-	183	15	183	-
255	true	2	0	0	-	247	13	247	-
256	true	3	0	0	-	390	123	390	-
257	true	1	0	0	-	69	9	69	-
258	true	2	0	0	-	131	16	131	-
259	true	2	0	0	-	179	4	179	-
260	true	2	0	0	-	228	36	228	-
261	true	3	0	0	-	616	272	616	-
262	true	2	0	0	-	93	3	93	-
263	true	2	0	0	-	144	23	144	-
264	true	3	0	0	-	231	64	231	-
265	true	3	0	0	-	206	55	206	-
266	true	3	0	0	-	281	110	281	-
267	true	3	0	0	-	250	97	250	-
269	true	1	0	0	-	137	11	137	-
270	true	1	0	0	-	159	21	159	-
271	true	2	0	0	-	132	14	132	-
272	true	2	0	0	-	259	72	259	-
274	true	1	0	0	-	72	4	72	-
275	true	2	0	0	-	218	16	218	-
276	true	2	0	0	-	302	52	302	-
277	true	3	0	0	-	306	48	306	-
278	true	3	0	0	-	616	268	616	-
280	true	1	0	0	-	113	0	113	-
281	true	2	0	0	-	118	2	118	-
282	true	1	0	0	-	151	0	151	-
283	true	1	0	0	-	127	0	127	-
288	true	2	0	0	-	100	18	100	-
289	true	1	0	0	-	121	22	121	-
290	true	2	0	0	-	180	18	180	-
291	true	2	0	0	-	232	41	232	-
292	true	2	0	0	-	113	17	113	-
293	true	2	0	0	-	236	15	236	-
294	true	2	0	0	-	295	49	295	-
295	true	1	0	0	-	44	7	44	-
296	true	1	0	0	-	199	57	199	-
297	true	1	0	0	-	479	212	479	-
298	true	2	0	0	-	168	41	168	-
299	true	3	0	0	-	237	73	237	-
300	true	2	0	0	-	147	27	147	-
301	true	3	0	0	-	175	17	175	-
302	true	4	0	0	-	320	105	320	-
303	true	2	0	0	-	50	11	50	-
304	true	2	0	0	-	180	41	180	-
305	true	3	0	0	-	146	39	146	-
306	true	2	0	0	-	183	61	183	-
307	true	2	0	0	-	233	65	233	-
308	true	3	0	0	-	265	128	265	-
309	true	1	0	0	-	18	8	18	-
310	true	4	0	0	-	168	17	168	-
311	true	4	0	0	-	192	32	192	-
312	true	3	0	0	-	195	19	195	-
313	true	4	0	0	-	381	66	381	-
314	true	2	0	0	-	121	5	121	-
315	true	2	0	0	-	271	8	271	-
316	true	3	0	0	-	224	3	224	-
317	true	4	0	0	-	467	79	467	-
318	true	2	0	0	-	164	15	164	-
319	true	1	0	0	-	153	21	153	-
320	true	2	0	0	-	233	40	233	-
321	true	4	0	0	-	207	37	207	-
322	true	1	0	0	-	182	45	182	-
