page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
58	true	6	6	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
59	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
60	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
61	true	8	8	5	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=3	0	0	0	show@239
62	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
63	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tw@452
64	true	7	7	6	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tw@452
65	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
66	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
67	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
68	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
69	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tw@452
70	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tw@452
71	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
72	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
73	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
74	true	5	5	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
75	true	8	8	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=4	0	0	0	Tc@452
76	true	6	6	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
77	true	5	5	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
78	true	5	5	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
79	true	5	5	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tc@452
80	true	6	6	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	Tw@452
81	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	Tc@452
