set	sheetRow	book	page	line	class	left	right	pair	verdict
fixture-pages-all	19	911	45	20	punct	:	“	Washington: “Latest	space
fixture-pages-all	20	911	45	20	punct	.	A	report. Aircraft	space
fixture-pages-all	21	911	45	24	punct	:	“	fighters: “Okay,	space
fixture-pages-all	22	911	45	24	punct	,	w	“Okay, we’re	space
fixture-pages-all	23	911	45	27	punct	,	b	instructed, but	space
fixture-pages-all	24	911	45	28	punct	.	“	said. “Damn	space
fixture-pages-all	25	911	45	30	punct	,	t	order, this	space
fixture-pages-all	26	911	45	31	punct	.	S	location. Second,	space
fixture-pages-all	27	911	45	31	punct	,	a	Second, a	space
fixture-pages-all	28	911	45	31	punct	”	f	“generic” flight	space
fixture-pages-all	29	911	45	39	punct	.	T	Washington. The	space
fixture-pages-all	30	911	45	39	punct	.	T	9:38. The	space
fixture-pages-all	31	911	45	42	punct	.	I	aircraft. It	space
fixture-pages-all	32	911	45	42	punct	.	A	all. After	space
fixture-pages-all	33	911	45	43	capital	d	W	second World	space
fixture-pages-all	34	911	45	43	capital	d	T	World Trade	space
fixture-pages-all	35	911	45	43	punct	,	B	crash, Boston	space
fixture-pages-all	36	911	48	2	punct	,	t	seconds, the	space
fixture-pages-all	37	911	48	3	punct	,	a	aircraft, and	space
fixture-pages-all	38	911	48	10	punct	.	T	D.C. The	space
fixture-pages-all	39	911	48	12	punct	,	t	radar, the	space
fixture-pages-all	40	911	48	24	punct	,	w	Uh, who,	space
fixture-pages-all	41	911	48	24	punct	,	i	who, it	space
fixture-pages-all	42	911	48	37	punct	.	U	10:07. Unaware	space
fixture-pages-all	43	911	57	3	capital	o	V	to Vice	space
fixture-pages-all	44	911	57	3	punct	,	D	Cheney, Dr.	space
fixture-pages-all	45	911	57	3	punct	.	R	Dr. Rice,	space
fixture-pages-all	46	911	57	3	punct	,	N	Rice, New	space
fixture-pages-all	47	911	57	3	capital	w	Y	New York	space
fixture-pages-all	48	911	57	5	punct	.	T	airport. The	space
fixture-pages-all	49	911	57	8	punct	,	t	9:30, the	space
fixture-pages-all	50	911	57	11	punct	.	S	missing. Staff	space
fixture-pages-all	51	911	57	11	capital	e	W	the White	space
fixture-pages-all	52	911	57	12	punct	,	n	determine, no	space
fixture-pages-all	53	911	57	16	punct	.	D	9:45. During	space
fixture-pages-all	54	911	57	19	capital	e	V	the Vice	space
fixture-pages-all	55	911	57	19	punct	:	“	President: “Sounds	space
fixture-pages-all	56	911	57	20	punct	.	W	Pentagon. We’re	space
fixture-pages-all	57	911	57	22	punct	,	C	time, Card,	space
fixture-pages-all	58	911	57	22	punct	,	t	Card, the	space
fixture-pages-all	59	911	57	22	punct	,	t	agent, the	space
fixture-pages-all	60	911	57	23	punct	,	a	aide, and	space
fixture-pages-all	61	911	57	28	capital	e	V	The Vice	space
fixture-pages-all	62	911	57	29	capital	o	W	to Washington.	space
fixture-pages-all	63	911	57	29	punct	.	A	Washington. Air	space
fixture-pages-all	64	911	57	30	punct	.	T	destination. The	space
fixture-pages-all	65	911	57	34	punct	”	T	us.” This	space
fixture-pages-all	66	911	57	36	punct	.	A	time. As	space
fixture-pages-all	67	911	57	41	punct	,	b	minute, before	space
fixture-pages-all	68	911	234	1	punct	.	H	mosques. He	space
fixture-pages-all	69	911	234	9	punct	,	w	research, which	space
fixture-pages-all	70	911	234	11	punct	,	t	instructed, they	space
fixture-pages-all	71	911	234	13	punct	,	w	Airport, we	space
fixture-pages-all	72	911	234	13	note	8	T	went.8 They	space
fixture-pages-all	73	911	234	14	punct	,	s	community, specifically	space
fixture-pages-all	74	911	234	26	punct	,	A	evening, Abdullah	space
fixture-pages-all	75	911	234	27	punct	.	T	private. The	space
fixture-pages-all	76	911	234	31	punct	.	T	them. This	space
fixture-pages-all	77	911	234	35	punct	.	T	Angeles. This	space
fixture-pages-all	78	911	234	39	punct	,	T	community, Thumairy	space
fixture-pages-all	79	911	489	5	punct	.	A	v. Ali	space
fixture-pages-all	80	911	489	8	punct	,	“	Davies, “Saudis	space
fixture-pages-all	81	911	489	8	punct	,	A	(London), Aug.	space
fixture-pages-all	82	911	489	14	punct	.	T	later. Testimony	space
fixture-pages-all	83	911	489	18	punct	.	“	88. “World	space
fixture-pages-all	84	911	489	19	punct	.	A	U.S. Attorney	space
fixture-pages-all	85	911	489	22	punct	,	A	Odeh, Aug.	space
fixture-pages-all	86	911	489	23	punct	.	A	U.S. Attorney	space
fixture-pages-all	87	911	489	27	punct	,	“	interview, “To	space
fixture-pages-all	88	911	489	28	punct	.	A	U.S. Attorney	space
fixture-pages-all	89	911	489	37	punct	.	A	93. ABC	space
fixture-pages-all	90	911	489	37	punct	,	“	interview, “Terror	space
fixture-pages-all	91	911	489	37	punct	:	A	Suspect: An	space
fixture-pages-all	92	911	489	40	punct	.	B	1. Brief	space
fixture-pages-all	93	911	489	40	punct	.	R	v. Ramzi	space
fixture-pages-all	94	911	489	40	capital	d	Y	Ahmed Yousef,	space
fixture-pages-all	95	911	489	40	punct	,	L	Yousef, Lead	space
fixture-pages-all	96	911	489	40	punct	.	9	No. 98-1041	space
fixture-pages-all	97	911	489	40	punct	.	f	Cir. filed	space
fixture-pages-all	98	911	489	40	punct	.	2	Aug. 25,	space
fixture-pages-all	99	911	489	40	punct	,	2	25, 2000),	space
fixture-pages-all	100	911	489	44	punct	:	T	War: The	space
fixture-pages-all	101	911	489	44	punct	,	A	CIA, Afghanistan,	space
fixture-pages-all	102	911	489	46	punct	.	T	3. Trial	space
fixture-pages-all	103	911	489	57	punct	.	R	v. Rahman,	space
fixture-pages-all	104	911	489	57	punct	,	1	Rahman, 189	space
fixture-pages-all	105	911	489	57	punct	,	1	88, 104	space
fixture-pages-all	106	911	489	57	punct	.	1	Cir. 1999);	space
fixture-pages-all	107	911	489	57	punct	;	B	1999); Brief	space
fixture-pages-all	108	911	489	57	punct	.	S	v. Siddig	space
fixture-pages-all	109	911	489	58	punct	.	9	No. 96-1044	space
fixture-pages-all	110	911	489	58	punct	.	f	Cir. filed	space
fixture-pages-all	111	911	489	58	punct	,	1	3, 1997),	space
fixture-pages-all	112	911	489	58	punct	,	p	1997), pp.	space
fixture-pages-all	113	911	489	58	punct	.	1	pp. 10,	space
fixture-pages-all	114	911	489	58	punct	,	1	10, 15.	space
fixture-pages-all	115	911	489	58	punct	.	S	15. See	space
fixture-pages-all	116	911	489	58	punct	,	“	report, “Review	space
before-parenthesis-all	0	911	102	27	punct	,	(	menacing, (2)	space
before-parenthesis-all	1	911	360	16	punct	”	(	Holidays” (December	space
before-parenthesis-all	2	911	360	19	punct	”	(	Plot” (May	space
before-parenthesis-all	3	911	433	15	punct	;	(	cities; (e)	space
before-parenthesis-all	4	911	484	19	punct	.	(	ed. (Yale	space
before-parenthesis-all	5	911	491	46	punct	”	(	Investigation” (hereinafter	space
before-parenthesis-all	6	911	494	54	punct	”	(	Equipment” (emergency	space
before-parenthesis-all	7	911	537	8	punct	.	(	ibid. (citing	space
before-parenthesis-all	8	911	537	27	punct	.	(	ibid. (Sept.	space
before-parenthesis-all	9	911	540	7	punct	.	(	Ibid. (citing	space
before-parenthesis-all	10	911	540	8	punct	.	(	ibid. (citing	space
before-parenthesis-all	11	911	540	15	punct	.	(	ibid. (Dec.	space
before-parenthesis-all	12	911	540	16	punct	.	(	ibid. (Dec.	space
before-parenthesis-all	13	911	541	27	punct	.	(	ibid. (Apr.	space
before-parenthesis-all	14	911	542	7	punct	.	(	ibid. (citing	space
contract-rewrites	0	911	17	40	punct	.	W	humility. We	space
contract-rewrites	1	911	472	2	punct	,	“	report, “Flight	space
contract-rewrites	2	911	472	3	punct	.	T	40. The	space
contract-rewrites	3	911	472	11	punct	,	“	report, “Flight	space
contract-rewrites	4	911	472	15	punct	,	“	report, “Flight	space
contract-rewrites	5	911	472	31	punct	,	“	report, “Flight	space
contract-rewrites	6	911	472	39	punct	,	“	report, “Flight	space
contract-rewrites	7	911	472	44	punct	,	“	report, “Flight	space
contract-rewrites	8	911	472	48	punct	,	“	report, “Flight	space
contract-rewrites	9	911	472	53	punct	,	“	report, “Flight	space
contract-rewrites	10	911	472	59	punct	,	“	report, “Flight	space
contract-rewrites	11	911	484	5	punct	.	“	1. “Text	space
contract-rewrites	12	911	484	14	punct	.	“	4. “Hunting	space
contract-rewrites	13	911	496	3	punct	.	9	(Dec. 9,	space
contract-rewrites	14	911	496	3	punct	,	2	9, 2003);	space
contract-rewrites	15	911	496	3	punct	;	H	2003); Henry	space
contract-rewrites	16	911	532	4	punct	;	A	2003; Aug.	space
contract-rewrites	17	911	532	20	punct	;	A	2003; Aug.	space
contract-rewrites	18	911	532	37	punct	.	T	5. This	space
contract-rewrites	19	911	543	10	punct	;	A	2004; Apr.	space
contract-rewrites	20	911	543	14	punct	;	A	2004; Apr.	space
contract-rewrites	21	911	543	14	punct	;	A	2004; Apr.	space
contract-rewrites	22	911	543	35	punct	,	A	Khallad, Apr.	space
contract-rewrites	23	911	571	22	punct	,	W	CNN, WTC	space
contract-rewrites	24	911	571	37	punct	.	A	203. Appended	space
contract-rewrites	25	911	571	38	punct	.	T	ders. Terrorist	space
contract-rewrites	26	911	572	4	punct	,	w	scripts, we	space
contract-rewrites	27	911	572	17	punct	.	A	1. All	space
contract-rewrites	28	911	572	43	punct	.	W	4. White	space
contract-rewrites	29	911	572	44	punct	.	W	5. White	space
contract-rewrites	30	911	577	60	punct	,	p	offensive, perhaps	space
contract-rewrites	31	911	578	36	punct	:	W	Harbor: Warning	space
contract-rewrites	32	911	583	1	punct	.	F	factors. For	space
contract-rewrites	33	911	583	1	punct	,	s	backlogs, see	space
contract-rewrites	34	911	583	4	punct	.	T	39. These	space
contract-rewrites	35	911	583	4	punct	.	W	agenda. White	space
contract-rewrites	36	911	583	4	punct	,	“	release, “G-8	space
contract-rewrites	37	911	583	5	punct	”	J	(SAFTI),” June	space
contract-rewrites	38	911	583	5	punct	,	2	9, 2004	space
contract-rewrites-9803329	0	911	532	1	punct	:	T	View: Two	space
contract-rewrites-9803329	1	911	532	4	punct	;	A	2003; Aug.	space
contract-rewrites-9803329	2	911	532	20	punct	;	A	2003; Aug.	space
contract-rewrites-9803329	3	911	578	53	punct	,	s	routine, see	space
contract-rewrites-9803329	4	911	579	52	punct	,	s	view, see	space
contract-rewrites-9803329	5	911	579	52	punct	,	s	view, see	space
contract-rewrites-9803329	0	911	473	1	punct	,	2	24, 2003);	space
contract-rewrites-9803329	1	911	473	1	punct	;	L	2003); Linda	space
contract-rewrites-9803329	2	911	473	1	punct	.	2	(Sept. 24,	space
contract-rewrites-9803329	3	911	473	1	punct	,	2	24, 2003);	space
contract-rewrites-9803329	4	911	473	1	punct	;	s	2003); see	space
contract-rewrites-9803329	5	911	473	1	punct	,	A	report, Air	space
zoom-500dpi	0	911	234	13	note	8	T	went.8 They	space
zoom-500dpi	1	911	321	43	note	5	W	5 WTC	space
zoom-500dpi	2	911	467	16	capital	w	Y	New York;	space
zoom-500dpi	3	911	467	20	capital	w	Y	New York;	space
zoom-600dpi-initials	0	911	13	33	punct	.	W	M. W.	space
zoom-600dpi-initials	1	911	93	27	punct	.	W	H. W.	space
zoom-600dpi-initials	2	911	116	10	punct	.	W	H. W.	space
zoom-600dpi-initials	3	911	216	17	punct	.	W	H. W.	space
zoom-600dpi-initials	4	911	487	42	punct	.	a	G. and	space
zoom-600dpi-initials	5	911	487	42	punct	.	b	S. briefing	space
zoom-600dpi-initials	6	911	488	19	punct	.	a	G. and	space
zoom-600dpi-initials	7	911	488	19	punct	.	b	S. briefing	space
zoom-600dpi-initials	8	911	515	58	punct	.	a	G. and	space
zoom-600dpi-initials	9	911	515	58	punct	.	b	S. briefing	space
zoom-600dpi-initials	10	911	516	4	punct	.	a	G. and	space
zoom-600dpi-initials	11	911	516	4	punct	.	b	S. briefing	space
zoom-600dpi-initials	12	911	517	3	punct	.	a	G. and	space
zoom-600dpi-initials	13	911	517	3	punct	.	b	S. briefing	space
zoom-600dpi-initials	14	911	555	55	punct	.	t	L. to	space
zoom-600dpi-initials	15	911	555	55	punct	.	t	L. to	space
zoom-600dpi-initials	16	911	555	56	punct	.	t	L. to	space
