replay	7	16	punct	,	E	𝛼,𝛿, E	𝛼,𝛿, E and 𝐼.
replay	9	49	punct	)	c	𝑂(𝑛) complexity	While vector clocks are upper bounded by 𝑂(𝑛) complexity in
replay	10	2	word	E	i	E instead	Figure 13: Effect of using E instead of E𝑎 in 𝑅𝑒𝑝𝐶𝑙.
replay	10	7	word	E	p	E provides	observe that E provides one way to reduce the overhead if we
replay	10	18	word	𝑗	a	𝑗 and	𝑗 and 𝑘) is often less than E𝑎. Hence, if 𝑒 and 𝑓
replay	10	18	word	𝑒	a	𝑒 and	𝑗 and 𝑘) is often less than E𝑎. Hence, if 𝑒 and 𝑓
replay	10	21	word	E	d	E depends	E depends upon the area of the shaded part (cf. Figure 13). In this
replay	10	35	word	E	t	≈E time	before 𝑓 (as defined in [6]) or 𝑓 occurred E1 ≈E time after 𝑒 then
replay	10	36	word	𝑒	m	𝑒 must	𝑒 must occur before 𝑓. And, by uncertainty, we mean that if 𝑒 and 𝑓
replay	10	36	word	𝑒	a	𝑒 and	𝑒 must occur before 𝑓. And, by uncertainty, we mean that if 𝑒 and 𝑓
replay	10	39	word	E	t	≈E then	occurred within time E2 ≈E then the replay permits them to be
replay	10	41	word	𝑙	t	𝑅𝑒𝑝𝐶𝑙 to	We presented 𝑅𝑒𝑝𝐶𝑙 to solve the replay problem with E1 = E+𝐼
replay	10	54	word	E	w	E window.	that communicate with 𝑗 (directly or indirectly) in E window. This
replay	10	77	word	E	i	E in	of the future works is to identify the effect of reducing E in this
