page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	blank	taggedLines	lines
88	3	2	true	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	6	14
89	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	11	16
90	8	8	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	25	34
91	7	7	false	false	true	partial	-	1	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=1	inLineUntracked=7,noLineUnmarked=1,unknownOrigin=1	15	43
92	7	7	false	false	true	partial	-	1	unknownOrigin=1	inLineTagged=1,noLineUnmarked=1,unknownOrigin=1	27	48
93	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	17	24
94	6	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	31	53
95	5	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	36	45
96	2	2	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	6	20
97	6	6	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	19	38
98	4	4	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	8	24
99	10	10	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	27	33
100	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	16	24
101	6	6	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	21	34
102	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	13	54
103	11	7	false	false	true	partial	-	4	lineSharedByGroups=4	noLineUnmarked=1,unknownOrigin=1	6	43
104	5	5	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	19	34
105	6	6	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	15	24
106	8	8	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	32	34
107	10	10	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	31	33
108	9	9	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	31	33
109	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	11	55
110	8	8	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	27	35
111	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	5	36
112	5	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	26	32
113	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	8	23
114	5	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	19	35
116	3	2	true	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	8	14
117	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	7	23
118	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=2	8	34
119	6	6	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	26	35
122	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	33	41
123	6	6	false	false	true	partial	-	1	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	15	37
124	7	7	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	23	34
125	5	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	18	53
126	7	7	false	false	true	partial	-	1	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	18	23
127	8	8	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	30	32
128	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=2	18	40
129	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	15	34
130	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	3	22
131	10	4	false	true	true	partial	-	3	lineSharedWithUntaggedOrAmbiguousShow=2,mcidShownOnlyFromUnknownOrigin=2,unknownOrigin=2	-	1	35
132	5	5	false	false	true	partial	-	1	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	10	28
133	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	7	9
135	3	3	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	2	7
