page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	blank	taggedLines	lines
2	67	24	false	false	true	partial	-	4	unknownOrigin=4	inLineTagged=4,noLineTagged=5	41	46
3	65	13	true	false	true	all	-	0	-	noLineTagged=1	42	45
4	79	17	true	false	true	all	-	0	-	noLineTagged=5	46	47
5	55	9	true	false	true	all	-	0	-	noLineTagged=3,noLineUntracked=1	36	39
6	39	10	false	false	true	all	-	0	-	noLineTagged=1	22	23
7	99	17	false	false	true	partial	-	2	noLineAtOrigin=2	inLineTagged=1,noLineTagged=14	42	55
8	74	19	false	false	true	all	-	0	-	noLineTagged=3	37	39
9	73	11	false	false	true	partial	-	1	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1	noLineTagged=3	38	49
10	58	9	false	false	true	partial	-	1	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1	-	26	37
