page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
154	89	11	false	false	true	partial	Do@L215	0	-	0	84
155	60	11	false	false	true	partial	Do@L215	0	-	0	53
156	76	16	false	false	true	partial	Do@L215	0	-	0	63
157	41	7	false	false	true	partial	Do@L215	0	-	0	33
158	94	13	false	false	true	all	-	0	-	84	85
159	61	12	false	false	true	partial	Do@L215	0	-	0	67
160	66	14	false	false	true	partial	Do@L215	0	-	0	56
161	26	7	true	false	true	partial	Do@L215	0	-	0	15
162	80	16	false	false	true	partial	Do@L215	0	-	0	70
163	60	10	false	false	true	partial	Do@L215	0	-	0	52
164	79	9	false	false	true	partial	Do@L215	0	-	0	69
165	59	12	false	false	true	partial	Do@L215	0	-	0	53
166	90	11	false	false	true	partial	Do@L215	0	-	0	84
167	91	15	false	false	true	partial	-	1	unknownOrigin=1	90	94
168	54	9	false	false	true	partial	Do@L215	0	-	0	51
169	76	9	false	false	true	partial	Do@L215	0	-	0	72
170	89	9	false	false	true	partial	Do@L215	0	-	0	87
171	54	12	false	false	true	partial	Do@L215	0	-	0	51
172	95	25	false	false	true	partial	-	2	noLineAtOrigin=2	101	102
173	79	10	false	false	true	partial	Do@L215	0	-	0	77
174	51	8	false	false	true	partial	Do@L215	0	-	0	50
175	52	14	false	false	true	partial	Do@L215	0	-	0	50
176	52	15	false	false	true	partial	Do@L215	0	-	0	56
177	65	14	false	false	true	partial	Do@L215	0	-	0	61
178	96	15	false	false	true	all	-	0	-	93	94
179	52	16	false	false	true	partial	Do@L215	0	-	0	59
180	88	15	false	false	true	partial	-	3	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1,mcidNotShownOnPage=2,unknownOrigin=2	66	84
181	55	11	false	false	true	partial	Do@L215	0	-	0	50
182	49	13	false	false	true	partial	Do@L215	0	-	0	48
183	95	21	false	false	true	partial	Do@L215	0	-	0	78
184	81	16	false	false	true	partial	Do@L215	0	-	0	81
185	75	20	false	false	true	partial	Do@L215	0	-	0	81
186	50	10	false	false	true	partial	Do@L215	0	-	0	47
187	89	19	false	false	true	partial	Do@L215	0	-	0	90
188	91	13	false	false	true	all	-	0	-	91	92
189	95	20	false	false	true	partial	-	2	mcidNotShownOnPage=1,noLineAtOrigin=1,unknownOrigin=1	92	94
190	94	30	false	false	true	all	-	0	-	108	109
191	84	17	false	false	true	all	-	0	-	79	80
192	14	2	false	false	true	partial	Do@L215	0	-	0	14
193	60	17	false	false	true	partial	Do@L215	0	-	0	56
194	59	13	false	false	true	partial	-	3	mcidNotShownOnPage=2,noLineAtOrigin=1,unknownOrigin=2	50	55
195	58	13	false	false	true	partial	Do@L215	0	-	0	58
196	69	11	false	false	true	partial	Do@L215	0	-	0	68
197	90	9	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	77	89
198	81	15	false	false	true	all	-	0	-	77	78
199	45	8	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	26	41
200	74	12	false	false	true	partial	Do@L215	0	-	0	72
201	65	13	false	false	true	partial	Do@L215	0	-	0	62
202	6	1	false	false	true	all	-	0	-	6	7
203	2	2	true	false	true	partial	Do@L215	0	-	0	20
204	52	9	false	false	true	partial	Do@L215	0	-	0	50
205	79	14	false	false	true	partial	Do@L215	0	-	0	74
206	67	7	false	false	true	partial	Do@L215	0	-	0	63
207	88	15	false	false	true	partial	Do@L215	0	-	0	86
