page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
1	4	3	false	false	true	all	-	0	-	4	4
4	13	13	true	false	true	all	-	0	-	13	26
5	1	1	false	false	true	all	-	0	-	1	32
8	3	2	true	false	true	all	-	0	-	6	12
9	1	1	false	false	true	all	-	0	-	3	19
10	4	4	false	false	true	all	-	0	-	12	21
11	3	3	false	false	true	all	-	0	-	10	18
12	6	6	false	false	true	all	-	0	-	23	31
13	1	1	false	false	true	all	-	0	-	6	18
14	3	2	true	false	true	all	-	0	-	7	13
15	3	3	false	false	true	all	-	0	-	10	13
16	4	4	false	false	true	all	-	0	-	11	34
17	4	4	false	false	true	all	-	0	-	16	20
18	4	4	false	false	true	all	-	0	-	13	22
19	3	3	false	false	true	all	-	0	-	23	41
20	3	3	false	false	true	all	-	0	-	6	30
21	8	8	false	false	true	all	-	0	-	17	32
22	1	1	false	false	true	all	-	0	-	3	39
24	3	2	true	false	true	all	-	0	-	4	11
25	4	4	false	false	true	all	-	0	-	17	28
26	5	5	false	false	true	all	-	0	-	25	41
27	4	4	false	false	true	partial	-	3	unknownOrigin=3	14	45
28	5	5	false	false	true	partial	-	3	unknownOrigin=3	4	40
29	2	2	false	false	true	partial	-	1	unknownOrigin=1	3	20
30	7	7	false	false	true	all	-	0	-	25	33
31	7	7	false	false	true	all	-	0	-	23	30
32	9	9	false	false	true	partial	-	3	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=3	15	47
33	8	8	false	false	true	all	-	0	-	35	44
34	4	4	false	false	true	partial	-	3	unknownOrigin=3	4	49
35	7	7	false	false	true	partial	-	2	unknownOrigin=2	16	47
36	4	4	false	false	true	partial	-	1	noLineAtOrigin=1	22	55
37	7	7	false	false	true	all	-	0	-	34	46
38	7	7	false	false	true	all	-	0	-	22	33
39	5	5	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	13	30
40	6	6	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	18	40
41	6	6	false	false	true	partial	-	2	unknownOrigin=2	28	41
42	6	6	false	false	true	partial	-	2	unknownOrigin=2	24	43
43	7	7	false	false	true	partial	-	1	unknownOrigin=1	17	34
44	8	8	false	false	true	partial	-	4	noLineAtOrigin=1,unknownOrigin=3	9	35
45	2	2	false	false	true	partial	-	1	unknownOrigin=1	2	14
47	6	6	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	23	42
48	1	1	false	false	true	all	-	0	-	3	5
50	3	2	true	false	true	all	-	0	-	6	12
51	4	4	false	false	true	partial	-	1	unknownOrigin=1	8	24
52	9	9	false	false	true	partial	-	2	unknownOrigin=2	21	31
53	9	9	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	21	33
54	8	5	false	false	true	partial	-	2	unknownOrigin=2	4	78
55	3	3	false	false	true	all	-	0	-	8	24
56	5	5	false	false	true	partial	-	1	unknownOrigin=1	17	42
57	8	8	false	false	true	all	-	0	-	29	43
58	12	12	false	false	true	partial	-	3	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=3	31	63
59	4	4	false	false	true	partial	-	1	unknownOrigin=1	8	22
60	4	4	false	false	true	all	-	0	-	17	55
61	7	7	false	false	true	all	-	0	-	25	42
63	4	4	false	false	true	all	-	0	-	16	40
66	3	2	true	false	true	all	-	0	-	7	12
67	3	3	false	false	true	partial	-	1	unknownOrigin=1	6	19
68	4	4	false	false	true	partial	-	2	unknownOrigin=2	2	29
69	4	4	false	false	true	partial	-	1	unknownOrigin=1	10	22
70	4	4	false	false	true	partial	-	1	unknownOrigin=1	9	27
71	6	6	false	false	true	all	-	0	-	35	45
72	8	8	false	false	true	all	-	0	-	34	44
73	5	5	false	false	true	partial	-	1	unknownOrigin=1	10	41
74	10	10	false	false	true	partial	-	1	unknownOrigin=1	26	40
