# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
HLMIMA+Times-Roman	Type0	400	84	6	yes	3	Times-Roman×3	no	no
CHQDUK+Times-Roman	Type0	400	84	6	yes	3	Times-Roman×2	no	no
NKKNSO+Myriad-Bold	Type1	700	88	32	no	3		-	yes
XPNXCU+MyriadPro-Bold	Type1	700	152	32	no	3		-	yes
XLUFCU+Myriad-Bold	Type1	700	75	32	no	3		-	yes
Helvetica-BoldOblique	TrueType	700	144	96	no	2		-	yes
CGXSUK+Symbol	Type0	400	75	4	yes	2		-	no
SNSCKE+Helvetica-BoldOblique	TrueType	700	144	96	no	2		-	yes
SSYTKE+Swiss721BT-Bold	Type0	700	144	4	yes	2		-	yes
ZATOMU+TimesNewRomanPSMT	Type0	400	80	6	yes	2		-	no
CQJVUK+Latha	TrueType	400	84	32	no	2		-	no
STRJKT+TimesNewRomanPSMT	Type0	400	80	6	yes	2		-	no
CPQKUK+Helvetica	Type0	400	88	4	yes	2		-	no
IWOWVY+Helvetica	Type0	400	88	4	yes	2		-	no
CPQKUK+Helvetica-Bold	Type0	700	140	4	yes	2		-	yes
XTEHOY+TimesNewRomanPSMT	Type0	400	80	6	yes	2		-	no
YVPHWR+Arial	Type0	400	88	4	yes	2		-	no
*Arial-257-Identity-H	Type0	-	100	4	yes	1	Helvetica×1	no	no
PNXKTT+Arial	Type0	400	88	4	yes	1		-	no
XSHSCU+Helvetica-Bold	Type0	700	140	4	yes	1		-	yes
XJODCT+AgencyFB-Reg	Type0	400	64	4	yes	1		-	no
MVGNWQ+Arial	Type0	400	88	4	yes	1		-	no
Helvetica-Bold	TrueType	700	140	32	yes	1	Helvetica-Bold×1	yes	yes
NMQSSO+Helvetica-Bold	Type1	700	75	32	no	1		-	yes
HMPKUE+TimesNewRomanPSMT	Type0	400	80	6	yes	1		-	no
ROSSMG+Arial	Type0	400	88	4	yes	1		-	no
ANDERO+Arial	Type0	400	88	4	yes	1		-	no
NNJDSO+TimesNewRomanPS-ItalicMT	TrueType	400	72	98	no	1		-	no
NKKNSO+Myriad-Italic	Type1	400	88	32	no	1		-	no
TimesNewRomanPS-ItalicMT	TrueType	400	72	98	no	1		-	no
DNQWOS+TimesNewRoman	Type0	400	80	6	yes	1		-	no
SRFIKE+Times-Italic	Type0	400	80	70	yes	1	Times-Italic×1	no	no
NQNQVT+AgencyFB-Reg	Type0	400	64	4	yes	1	Helvetica×1	no	no
TRREGG+AgencyFB-Reg	Type0	400	64	4	yes	1		-	no
JRBLSW+Arial	Type0	400	88	4	yes	1		-	no
SSYTKE+Helvetica	Type0	400	88	4	yes	1		-	no
JDWIVB+Arial	Type0	400	88	4	yes	1		-	no
PHSJWT+Arial	Type0	400	88	4	yes	1		-	no
HYOPVZ+TimesNewRomanPSMT	Type0	400	80	6	yes	1		-	no
CQJVUK+Latha	Type1	400	88	32	no	1		-	no
OLLXQR+TimesNewRomanPSMT	Type0	400	80	6	yes	1		-	no
Arial-ItalicMT	TrueType	400	92	96	no	1		-	no
