10	16	29) ( − 7) + 7
438	45	43) − 20
471	39	33) − 10
23	9	5x − 2y − 8x + 7y
26	52	80) (7a2 + 7a) − (6a2 + 4a)
230	39	Multiply to 9, add to − 6
90	12	Graph the points A(3, 2), B ( − 2, 1), C (3, − 4), D( − 2, − 3), E ( − 3, 0), F (0, 2),
64	17	Four less than a number becomes x − 4
96	36	The slope of a line through (x1, y1) and (x2, y2) is y2 − y1
463	9	16) (m − 5n)(m − 10n)
465	90	32) − 4, − 6
482	19	4) (8, 15), ( − 10, − 12)
