# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
XLUFCU+Myriad-Italic	Type1	400	84	96	-11	no	6	Helvetica×1	no	no	italic	no	yes
BXYDTW+TimesNewRomanPSMT	Type0	400	80	6	0	yes	5		-	no	upright	-	no
Helvetica	TrueType	400	88	32	0	yes	5	Helvetica×4	no	no	unstated	no	no
IQUZAY+Wingdings3	Type0	400	72	131076	0	yes	5		-	no	unstated	-	no
NIDRSO+MSReferenceSansSerif	Type0	400	92	4	0	yes	5		-	no	unstated	-	no
SNSCKE+MicrosoftSansSerif	TrueType	400	92	32	0	yes	5		-	no	unstated	-	no
CGXSUK+Swiss721BT-Italic	TrueType	400	88	32	0	no	4		-	no	italic	-	yes
CQETIJ+TimesNewRomanPSMT	Type0	400	80	6	0	yes	4		-	no	upright	-	no
Courier	TrueType	400	72	34	0	no	4		-	no	unstated	-	no
GPJHLM+TimesNewRomanPSMT	Type0	400	80	6	0	yes	4		-	no	upright	-	no
IUNRVY+Times-Roman	Type0	400	84	6	0	yes	4	Times-Roman×1	no	no	upright	no	no
OHEAOQ+Symbol	Type0	400	75	4	0	yes	4		-	no	unstated	-	no
RIBUOV+TimesNewRomanPSMT	Type0	400	80	6	0	yes	4		-	no	upright	-	no
TTVHLM+TimesNewRomanPSMT	Type0	400	80	6	0	yes	4		-	no	upright	-	no
YWRAQH+TimesNewRomanPSMT	Type0	400	80	6	0	yes	4		-	no	upright	-	no
CHQDUK+Times-Roman	Type0	400	84	6	0	yes	3	Times-Roman×2	no	no	upright	no	no
HKTXMA+Symbol	Type0	400	75	4	0	yes	3		-	no	unstated	-	no
HLMIMA+Times-Roman	Type0	400	84	6	0	yes	3	Times-Roman×3	no	no	upright	no	no
Helvetica-Oblique	TrueType	400	92	96	-12	no	3		-	no	italic	-	yes
NKKNSO+Myriad-Bold	Type1	700	88	32	0	no	3		-	yes	unstated	-	no
XLUFCU+Myriad-Bold	Type1	700	75	32	0	no	3		-	yes	unstated	-	no
XPNXCU+MyriadPro-Bold	Type1	700	152	32	0	no	3		-	yes	unstated	-	no
CGXSUK+Symbol	Type0	400	75	4	0	yes	2		-	no	unstated	-	no
CPQKUK+Helvetica-Bold	Type0	700	140	4	0	yes	2		-	yes	unstated	-	no
CPQKUK+Helvetica	Type0	400	88	4	0	yes	2		-	no	unstated	-	no
CQJVUK+Latha	TrueType	400	84	32	0	no	2		-	no	unstated	-	no
Helvetica-BoldOblique	TrueType	700	144	96	-12	no	2		-	yes	italic	-	yes
IWOWVY+Helvetica	Type0	400	88	4	0	yes	2		-	no	unstated	-	no
SNSCKE+Helvetica-BoldOblique	TrueType	700	144	96	-12	no	2		-	yes	italic	-	yes
SSYTKE+Swiss721BT-Bold	Type0	700	144	4	0	yes	2		-	yes	unstated	-	no
STRJKT+TimesNewRomanPSMT	Type0	400	80	6	0	yes	2		-	no	upright	-	no
