page	unsafeBefore	unsafeAfterJoin	joinCreated	joinCreatedSingle	preexistingSingle	pageUnsafeNowSafeIfJoinExempt	pageUnsafeNowSafeIfSingleExempt
30	1	1	0	0	0	false	false
34	1	1	0	0	0	false	false
35	1	1	0	0	0	false	false
36	1	1	0	0	0	false	false
42	1	1	0	0	0	false	false
43	1	1	0	0	0	false	false
44	1	1	0	0	0	false	false
47	1	1	0	0	0	false	false
