pages 8 of 135
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
4	26	false	false	false	1.000	2	2/0/0/0	1.000	0	0.000	1.000	0.000
8	12	false	false	false	0.999	2	1/1/0/0	0.999	1	0.999	0.004	0.993
14	13	false	false	false	1.000	3	2/1/0/0	1.000	0	0.999	1.000	0.993
24	11	false	false	false	1.000	2	1/1/0/0	1.000	1	1.000	0.004	0.993
50	12	false	false	false	1.000	2	1/1/0/0	1.000	1	1.000	0.004	0.993
66	12	false	false	false	1.000	2	1/1/0/0	1.000	1	1.000	0.004	0.993
88	14	false	false	false	1.000	3	2/1/0/0	1.000	0	0.999	1.000	0.993
116	14	false	false	false	1.000	3	2/1/0/0	1.000	0	0.999	1.000	0.993
