pages 2 of 56
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
2	7	false	false	false	1.000	2	0/2/0/0	0.998	1	0.998	0.000	0.987
56	35	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993
