pages 7 of 7
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	86	true	false	true	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995
2	72	true	false	true	1.000	12	11/1/0/0	1.000	1	1.000	0.000	0.995
3	96	true	false	true	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.989
4	88	true	false	true	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.989
5	85	true	false	true	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.989
6	94	true	false	true	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.989
7	77	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996
