pages 4 of 10
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	8	false	false	false	1.000	106	61/45/0/0	1.000	0	0.028	1.000	0.254
3	45	false	false	false	0.941	45	35/4/3/3	0.112	0	0.007	0.112	0.022
4	47	false	false	false	1.000	42	31/5/3/3	0.093	0	0.047	0.093	0.071
5	39	false	false	false	1.000	31	24/4/2/1	0.184	0	0.047	0.184	0.059
