page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
68	44	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
69	46	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
70	44	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
71	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
72	33	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
73	29	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
74	30	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
75	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
76	30	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
77	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
78	44	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
79	42	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
80	33	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
81	31	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
82	33	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
83	52	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
84	32	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
85	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
86	44	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
87	52	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
88	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
89	36	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
90	27	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
91	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
92	36	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
93	30	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
94	30	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
95	31	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
96	37	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
97	41	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
98	23	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
99	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
100	26	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
101	45	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
102	61	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
103	51	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
104	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
105	23	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
106	79	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
107	89	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
108	106	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
109	74	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
110	110	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
111	74	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
112	117	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
113	92	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
114	113	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
115	36	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
116	281	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
117	95	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
118	117	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
119	122	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
120	171	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
121	207	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
122	239	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
123	196	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
124	230	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
125	209	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
126	190	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
127	207	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
128	193	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
129	201	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
130	229	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
131	205	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
132	229	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
133	204	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
134	73	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
135	204	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
136	101	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
137	200	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
138	199	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
139	133	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
140	147	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
141	87	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
142	45	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
143	78	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
144	119	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
145	77	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
146	130	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
147	83	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
148	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
149	240	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
150	104	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
151	193	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
152	182	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
153	184	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
154	301	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
155	51	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
156	254	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
157	198	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
158	167	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
159	132	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
160	209	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
161	93	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
162	267	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
163	224	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
164	197	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
